Time Stamp,Acceleration
23616700,-4.9764
23618584,-3.4866
23620468,-3.4866
23622348,-1.6263
23624236,0.2535
23626108,0.2535
23627980,1.9344
23629864,3.2058
23631728,3.8181
23633604,3.8181
23635476,3.8571
23637352,3.3033
23639224,2.4687
23641084,2.4687
23642964,1.1622
23644840,-0.1716
23646712,-1.5756
23648596,-1.5756
23650484,-2.8158
23652368,-3.7479
23654248,-4.1925
23656132,-4.1925
23658016,-4.4577
23659896,-4.1691
23661780,-3.6036
23663660,-3.6036
23665536,-2.7339
23667420,-1.677
23669300,-0.6123
23671172,-0.6123
23673048,0.3471
23674916,0.9243
23676788,0.9243
23678648,1.56
23680524,1.7238
23682396,1.6107
23684276,1.6107
23686152,1.2402
23688024,0.6162
23689888,-0.117
23691756,-0.117
23693628,-0.9087
23695500,-1.5951
23697380,-2.2035
23699252,-2.2035
23701128,-2.5545
23703008,-2.7651
23704892,-2.7456
23706780,-2.7456
23708648,-2.574
23710532,-2.2425
23712416,-1.7745
23714300,-1.7745
23716188,-1.2558
23718072,-0.7176
23719952,-0.7176
23721828,-0.2418
23723704,0.1482
23725568,0.4134
23727440,0.4134
23729312,0.5148
23731176,0.4797
23733048,0.2535
23734908,0.2535
23736780,-0.0507
23738644,-0.4758
23740512,-0.8892
23742384,-0.8892
23744252,-1.2831
23746132,-1.6536
23748020,-1.8837
23749904,-1.8837
23751792,-2.0163
23753676,-2.0124
23755552,-1.9071
23757440,-1.9071
23759320,-1.7043
23761196,-1.3962
23763076,-1.3962
23764960,-1.0881
23766832,-0.7332
23768708,-0.4368
23770584,-0.4368
23772456,-0.2028
23774324,-0.0663
23776192,-0.0156
23778056,-0.0156
23779916,-0.0741
23781780,-0.2301
23783652,-0.4524
23785528,-0.4524
23787400,-0.7059
23789260,-0.9789
23791128,-1.2285
23793012,-1.2285
23794900,-1.4235
23796788,-1.5483
23798672,-1.6029
23800552,-1.6029
23802428,-1.56
23804300,-1.4937
23806184,-1.4937
23808072,-1.365
23809956,-1.17
23811832,-0.9984
23813700,-0.9984
23815576,-0.819
23817440,-0.6669
23819316,-0.5343
23821188,-0.5343
23823072,-0.4485
23824948,-0.4329
23826824,-0.4485
23828696,-0.4485
23830568,-0.5148
23832444,-0.6357
23834324,-0.7605
23836200,-0.7605
23838068,-0.9126
23839944,-1.0569
23841824,-1.1622
23843708,-1.1622
23845596,-1.2597
23847480,-1.2987
23849364,-1.3026
23851256,-1.3026
23853136,-1.2558
23855016,-1.1817
23856904,-1.1817
23858784,-1.0881
23860664,-0.9867
23862532,-0.897
23864404,-0.897
23866272,-0.6279
23868140,-0.4173
23870016,-0.2847
23871888,-0.2847
23873764,-0.4524
23875636,-0.6591
23877512,-0.8658
23879392,-0.8658
23881260,-0.9672
23883132,-1.0296
23885012,-1.014
23886884,-1.014
23888756,-0.9633
23890624,-0.9087
23892496,-0.8892
23894372,-0.8892
23896244,-0.9165
23898120,-0.9633
23899992,-0.9633
23901876,-0.9828
23903748,-0.9867
23905624,-0.9399
23907496,-0.9399
23909368,-0.9009
23911236,-0.819
23913100,-0.2925
23914968,-0.2925
23916844,-0.3471
23918716,-0.5382
23920592,-0.8814
23922472,-0.8814
23924348,-0.936
23926220,-1.0491
23928100,-1.0686
23929976,-1.0686
23931852,-1.0842
23933732,-1.1115
23935624,-1.1154
23937516,-1.1154
23939408,-1.1505
23941288,-1.1076
23943156,-1.0647
23945040,-1.0647
23946920,-1.0296
23948796,-0.9945
23950672,-0.9945
23952548,-0.9906
23954408,-0.9711
23956284,-0.9516
23958164,-0.9516
23960044,-0.9321
23961920,-0.9048
23963784,-0.9087
23965652,-0.9087
23967512,-0.8892
23969388,-0.8658
23971252,-0.8502
23973124,-0.8502
23974992,-0.8229
23976868,-0.8151
23978736,-0.8034
23980612,-0.8034
23982484,-0.7761
23984372,-0.7683
23986244,-0.7683
23988116,-0.7605
23989992,-0.78
23991852,-0.7956
23993720,-0.7956
23995596,-0.7956
23997472,-0.8151
23999348,-0.8424
24001224,-0.8424
24003096,-0.8658
24004968,-0.8853
24006840,-0.9048
24008700,-0.9048
24010576,-0.897
24012440,-0.8892
24014308,-0.8853
24016180,-0.8853
24018052,-0.8697
24019920,-0.8658
24021792,-0.8502
24023672,-0.8502
24025532,-0.8697
24027408,-0.8619
24029280,-0.8619
24031152,-0.8658
24033028,-0.8658
24034892,-0.8814
24036768,-0.8814
24038644,-0.9087
24040508,-0.9009
24042372,-0.9126
24044244,-0.9126
24046124,-0.9555
24047992,-0.9672
24049868,-0.9516
24051744,-0.9516
24053616,-0.9594
24055492,-0.9204
24057356,-0.9048
24059224,-0.9048
24061092,-0.8736
24062964,-0.8424
24064848,-0.8424
24066720,-0.8385
24068596,-0.8268
24070468,-0.8424
24072340,-0.8424
24074204,-0.8463
24076080,-0.8502
24077952,-0.8658
24079816,-0.8658
24081688,-0.8619
24083564,-0.8619
24085436,-0.8502
24087304,-0.8502
24089168,-0.858
24091036,-0.8658
24092912,-0.819
24094780,-0.819
24096648,-0.8151
24098516,-0.8268
24100392,-0.8346
24102268,-0.8346
24104140,-0.8346
24106012,-0.8307
24107880,-0.8307
24109744,-0.8385
24111612,-0.8229
24113488,-0.8619
24115364,-0.8619
24117228,-0.8814
24119104,-0.8814
24120980,-0.9165
24122848,-0.9165
24124720,-0.9087
24126588,-0.897
24128456,-0.9165
24130324,-0.9165
24132208,-0.9165
24134084,-0.9048
24135948,-0.8853
24137828,-0.8853
24139700,-0.8736
24141568,-0.8736
24143448,-0.8736
24145328,-0.9165
24147204,-0.9243
24149076,-0.9087
24150940,-0.9087
24152804,-0.9438
24154672,-0.9516
24156548,-0.9516
24158420,-0.9516
24160292,-0.9594
24162164,-0.9672
24164032,-0.9243
24165904,-0.9243
24167776,-0.9789
24169644,-0.9126
24171516,-0.9945
24173392,-0.9945
24175260,-0.9672
24177136,-1.014
24179012,-0.9945
24180884,-0.9945
24182752,-1.0374
24184632,-1.0257
24186516,-1.0257
24188396,-1.0686
24190272,-1.014
24192148,-1.053
24194016,-1.053
24195892,-1.0452
24197764,-1.0023
24199640,-1.0179
24201520,-1.0179
24203396,-0.9594
24205260,-0.9438
24207128,-0.9711
24209016,-0.9711
24210892,-1.0569
24212768,-0.9282
24214640,-0.9204
24216508,-0.9204
24218368,-0.9477
24220236,-0.9984
24222108,-0.9711
24223988,-0.9711
24225860,-0.9789
24227732,-0.9906
24229604,-0.9906
24231464,-0.9945
24233340,-0.9906
24235208,-0.9828
24237084,-0.9828
24238956,-0.9828
24240824,-0.9789
24242688,-0.9516
24244564,-0.9516
24246436,-0.9438
24248304,-0.9477
24250180,-0.936
24252052,-0.936
24253912,-0.9321
24255792,-0.9165
24257664,-0.9165
24259532,-0.9165
24261408,-0.9048
24263280,-0.8892
24265148,-0.8892
24267024,-0.8931
24268900,-0.8853
24270768,-0.8658
24272644,-0.8658
24274516,-0.8736
24276392,-0.8658
24278264,-0.8346
24280140,-0.8346
24282012,-0.8541
24283888,-0.8697
24285764,-0.8736
24287636,-0.8736
24289512,-0.8346
24291384,-0.8385
24293260,-0.897
24295136,-0.897
24296996,-0.8112
24298876,-0.7722
24300748,-0.8697
24302620,-0.8697
24304492,-0.7683
24306360,-0.741
24308236,-0.741
24310112,-0.819
24311984,-0.7956
24313852,-0.7644
24315736,-0.7644
24317612,-0.78
24319480,-0.819
24321344,-0.7488
24323216,-0.7488
24325080,-0.8814
24326956,-0.9789
24328832,-0.8736
24330708,-0.8736
24332580,-1.0413
24334460,-1.0686
24336336,-1.5249
24338224,-1.5249
24340104,-1.9422
24341988,-2.7105
24343868,-3.5334
24345756,-3.5334
24347636,-5.4015
24349520,-6.4077
24351396,-6.4077
24353272,-14.9799
24355200,-15.483
24357128,-15.9549
24359060,-15.9744
24360992,-15.9744
24362928,-13.8138
24364860,5.8422
24366740,15.2334
24368676,15.2334
24370608,15.9393
24372540,15.9666
24374472,15.9666
24376400,15.9666
24378324,15.9666
24380248,15.9666
24382176,15.9666
24384100,15.9666
24386032,13.6188
24387960,2.1918
24389844,-7.176
24391716,-7.176
24393592,-15.093
